ITEM;PARTIDA
SERVICIO DE FLETE TERRESTRE SUCRE-ORURO-SABAYA-CHIPAYA-SUCRE, PARA EL TRASLADO DE EXPOSICIONES Y EQUIPOS;22300
SERVICIO DE FLETE TERRESTRE TRINIDAD-SAN BORJA-RURRENABAQUE PARA ENVÍO DE MATERIAL DE EXPOSICIONES Y EQUIPO DE PROYECCIÓN ;22300
SERVICIO DE FLETE TERRESTRE TRINIDAD-SAN BORJA-RURRENABAQUE PARA ENVÍO DE MATERIAL DE EXPOSICIONES Y EQUIPO DE PROYECCIÓN ;22300
VIATICOS - ROBERTO SALINAS ;22210
VIATICOS - JUAN PEDRO DEBRECZENI;22210
VIATICOS - ROBERTO SALINAS ;22210
VIATICOS - JUAN PEDRO DEBRECZENI;22210
SERVICIO DE AFINADO DE PIANO PARA LA REALIZACIÓN DE CONCIERTOS;25900
"SERVICIO DE IMPRESIÓN DE CUADROS PARA EXPOSICION ""NACION TACANA""";25600
"SERVICIO DE IMPRESIÓN DE CUADROS PARA EXPOSICION""NACION CHUY""";25600
PASAJE SUCRE-LA PAZ-SUCRE (MARIO LINARES);22110
VIATICOS - MARIO LINARES;22210
PASAJES AEREOS ROSARIO BARAHONA;22110
VIATICOS - ROSARIO BARAHONA;22210
SERVICIO DE LA ELABORACION DE RECORRIDO 360;26990
VASOS TEQUILEROS;34500
TAZA DE PORCELANA;34500
VASO WISQUERO SUBLIMADO;34500
IMAN DE REFRIGERADOR;34600
PINES BOTONES;34600
FOLDER MAS ACTA DE LA INDEPENDENCIA;25600
SERVICIO DE COURIER PARA CASA DE LA LIBERTAD;21100
SERVICIO DE ENERGÍA ELECTRICA. (PAGO DEL SERVICIO DE ENERGÍA ELECTRICA DEL MEDIDOR N° 54643711);21200
SERVICIO DE AGUA. (PAGO DEL SERVICIO AGUA POTABLE Y ALCANTARILLADO DE LOS CODIGOS DE USUARIO N° 100220650, N° 100220700 y N° 100220750);21300
SERVICIOS DE TELEFONÍA. (PAGO DEL SERVICIO DE TELEFONIA MÓVIL Y DE LARGA DISTANCIA DE LAS LÍNEAS 64-52690 y 64-52199) (PAGO DEL SERVICIO DE TELEFONIA FIJA DE LAS LINEAS 6439414, 6452199, 6452690 y 6454200);21400
PAGO POR EL SERVICIO DE CONEXIÓN A INTERNET A TRAVÉS DE FIBRA OPTICA, 2 PLANES DE 10Mbps Y 30 Mbps RESPECTIVAMENTE;21600
SERVICIO DE HOSTING DE PÁGINA WEB DE CASA DE LA LIBERTAD.;21600
PAGO POR RENOVACIÓN DEL DOMINIO DE DIRECCIÓN WEB WWW.CASADELALIBERTAD.ORG.BO;21600
PASAJES AEREOS SUCRE - LA PAZ - SUCRE (JHOANA MELCON);22110
PASAJES AEREOS SUCRE - LA PAZ - SUCRE (ROBERTO SALINAS;22110
VIATICOS - JHOANA MELCON;22210
VIATICOS - ROBERTO SALINAS ;22210
SERVICIO FLETES Y ALMACENAMIENTO (TRASLADO DE MATERIALES ENCOMIENDAS GRANDES Y CARGUÍOS) PARA PARA;22300
PAGO POR LA INCORPORACION DE NUEVOS ACTIVOS EN EL SEGURO;22500
SERVICIOS TRANSPORTE DE PERSONAL PARA PERSONAL;22600
SERVICIOS ALQUILER DE CASILLA POSTAL PARA CDL;23400
SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE LOS EQUIPOS DE AIRE ACONDICIONADO;24120
SERVICIO DE MANTENIMIENTO DE SISTEMA DE SEGURIDAD Y VIGILANCIA DE CASA DE LA LIBERTAD;24120
SERVICIO DE MANTENIMIENTO DE EQUIPO DE AMPLIFICACION;24120
SERVICIO DE ACTUALIZACIÓN DE SOFTWARE (ANTIVIRUS) DE EQUIPOS DE COMPUTACIÓN DE CDL;24300
GASTOS PRE Y POST OCUPACIONALES EN LA CPS;25120
SERVICIO DE CONSULTORIA INDIVIDUAL POR PRODUCTO PARA ACTIVOS FIJOS;25210
SERVICIO DE CONSULTORIA INDIVIDUAL POR PRODUCTO PARA LA ELABORACION DEL PROYECTO DE INSTALACION DE REDES ELECTRICAS INTERNAS DE CASA PATRIMONIAL;25210
SERVICIO DE CONSULTORÍA INDIVIDUAL DE LÍNEA PERSONAL DE APOYO PARA EL AREA DE CONSERVACION;25220
SERVICIO DE CONSULTORÍA INDIVIDUAL DE LÍNEA PERSONAL DE APOYO PARA LA UNIDAD DE MUSEO;25220
COMISIONES BANCARIAS;25300
COMISIONES BANCARIAS POR EL USO DE TARJETA EN VENTAS;25300
SERVICIO DE LIMPIEZA INTEGRAL DE LOS TRES INMUEBLES DE CASA DE LA LIBERTAD;25400
PUBLICIDAD CORREO DEL SUR;25500
SERVICIO DE EMPASTADO DE DOCUMENTACIÓN DE CASA DE LA LIBERTAD;25600
SERVICIO DE IMPRESIÓN DE TALONARIOS DE TICKETS PARA VISITAS GRATUITAS Y EXPOSICIONES TEMPORALES;25600
SERVICIO DE JARDINERÍA PARA PLANTAS ORNAMENTALES DE CASA DE LA LIBERTAD;25900
SERVICIOS MANUALES VARIOS PARA MANTENIMIENTO DE LA INFRAESTRUCTURA DE CDL;25900
SERVICIOS SERVICIOS JUDICIALES PARA CDL;26200
SERVICIOS PÚBLICOS (GUARDIAS DE SEGURIDAD);26610
PASANTIAS;26930
REFRIGERIOS PARA EL PERSONAL DE PLANTA DE CDL (SERVICIO DE TE);31110
REFRIGERIOS PARA EL PERSONAL DE PLANTA DE CDL (SERVICIO DE TE);31110
PAPEL BOND RECICLADO (ECOLÓGICO) T/CARTA, (Pqte. x 500 hojas), GRAMAJE: 75 Gr., TAMAÑO: Carta;32100
PAPEL BOND BLANCO T/CARTA (Pqte. x 500 hojas), GRAMAJE: 75 Gr.,TAMAÑO: Carta.;32100
"PAPEL BOND DE UN COLOR T/CARTA (Pqte. x 500 hojas),
GRAMAJE: 75 Gr., TAMAÑO: Carta (Un solo color. Color a definir con la entidad contratante)";32100
"PAPEL BOND MULTICOLOR T/OFICIO(Pqte. x 500 hojas),
GRAMAJE: 75 Gr., TAMAÑO: Oficio (multicolor)";32100
PAPEL FOTOGRAFICO TAMAÑO POSTAL, (Pqte. x 100 hojas);32100
"ARCHIVADOR DE PALANCA PLASTIFICADO – LOMO ANCHO
Color: Azul; Tamaño: Oficio; Mecanismo: Manual de 2 anillas; Con refuerzo metálico en las puntas.marca TOP
";32200
"ARCHIVADOR DE PALANCA PLASTIFICADO – LOMO DELGADO 
Color: Azul; Tamaño: Oficio; Mecanismo manual de 2 anillas; Con refuerzo metálico en las puntas., MARCA TOP.";32200
"CUADERNO CON ESPIRAL/ANILLADO – TAMAÑO MEDIO OFICIO,
Cuaderno de 100 hojas; Cuadrícula de 5mm; Gramaje: 60 gramos; Tapa: color entero, sin diseño; Anillado de plástico,
MARCA TOP.";32200
"CUADERNO EMPASTADO – TAMAÑO OFICIO, Cuaderno de 100 hojas; Cuadrícula de 5mm; Gramaje: 60 gramos; Tapa: color entero, sin diseño, MARCA TOP
";32200
"CUADERNO EMPASTADO - TAMAÑO MEDIO OFICIO, Cuaderno de 100 hojas; Cuadrícula de 5mm; Gramaje: 60 gramos; Tapa: color entero, sin diseño, MARCA TOP.";32200
"FOLDER: Tamaño Oficio; Gramaje: 200 gramos; Color: amarillo.
MARCA American Iris.";32200
"PAPEL KRAFT Dimensiones (aprox.): 102 x 160 cm; Espesor: 120 Gr. ";32200
"CARTULINA ESCOLAR, 400 Pliegos, Dimensiones: 65 x 100 cm; Espesor: 180 Gr., MARCA Chambril.";32200
PAPEL TÉRMICO, MATERIAL: PAPEL TÉRMICO, COLOR BLANCO, TAMAÑO DE ROLLO: 78 MM DE ANCHO, 70 MM DE DIÁMETRO, TAMAÑO DEL EJE 13MM. (APROXIMADAMENTE), GRAMAJE: 80 GR.;32200
SUSCRIPCION A CORREO DEL SUR;32500
ALFOMBRA DE ALTO TRAFICO MAS RIBETEADO;33200
GUANTES DE LÁTEX DESECHABLES(Caja de 50 pares) (10 cajas de talla M y 30 cajas de talla S),Látex (nitrilo).;33300
"POLVO QUÍMICO Y NITRÓGENO SECO PARA EXTINTORES TIPO PQS-ABC
6 EXINTORES DE 2 KG. tipo PQS - ABC.
4 EXINTORES DE 4 KG. tipo PQS - ABC.
14 EXINTORES DE 8 KG. tipo PQS - ABC.";34200
"CARPICOLA, Presentación: Bote; Material: Pegamento; Contenido: 300 ML; Color: Blanco; País de Origen: Bolivia. MARCA MONOPOL.";34200
"PINTURA LÁTEX, Presentación: Balde; Contenido: 3.5 Litros; Color: Blanco; Tipo: Pintura; País de Origen: Bolivia, MARCA  MONOPOL (TRADICIONAL DE PRIMERA)";34200
"PINTURA IMPERMEABILIZANTE, Presentación: Balde; Contenido: 1 Litro; Color: Cerámico; Tipo: Pintura Impermeabilizante; País de Origen, MARCA RECUPLAST SINTEPLAT.";34200
ABONO GRANULADO / ORGANICO;34200
TINAJA MEDIANA;34500
"TUBERIA, Tipo: E-40; Material: PVC (resistente a la corrosión); Color: Plomo; Diámetro: 1/2” (13mm); Largo: 6 metros; Espesor: 1 mm; Presión Máxima: 23° C, MARCA TRUPER";34500
"CODOS, Tipo: E-40; Material: PVC (resistente a la corrosión); Grado de Inclinación: 90°; Rosca hembra 1/2” para agua potable; Origen: Bolivia, MARCA TRUPER.";34500
"CINTA TEFLON, Presentación: Cinta Sella Roscas; Color: Blanco; Dimensiones Aprox.: 7 m x 3/4”; Resistencia: 0.90 kg/mm2 MARCA TRUPER.";34500
"FLOTADOR PARA TANQUE DE AGUA, Material de Fabricación: Polietileno con brazo metálico; Medidas aprox.: 5,47” de largo y 4” de ancho y barilla de 35 cm de largo, MARCA COFLEX.";34500
"TACO FISHER # 6, Diámetro de agujero: 6 mm; longitud de anclaje: 30 mm; Material: Tarugos de Nylon en alta calidad; Tacos para brocas de 6 mm, MARCA FISCHER.";34500
"TACO FISHER # 7, Diámetro de agujero: 7 mm; longitud de anclaje: 30 mm; Material: Tarugos de Nylon en alta calidad; Tacos para brocas de 7 mm., MARCA FISCHER.";34500
"TACO FISHER # 8, Diámetro de agujero: 8 mm; longitud de anclaje: 40 mm; Material: Tarugos de Nylon en alta calidad; Tacos para brocas de 8 mm., MARCA FISCHER.";34500
"TACO FISHER # 10, Diámetro de agujero: 10 mm; longitud de anclaje: 40 mm; Material: Tarugos de Nylon en alta calidad; Tacos para brocas de 10 mm., MARCA FISCHER.";34500
"CAJA ELECTRICA, Material: Plástico; Medidas: Caja rectangular de 2 x 4 pulgadas con orejas metálicas; Profundidad aprox.: 4,79 cms., MARCA TIGREFLEX.";34500
"CINTA AISLANTE , Material: Cinta Eléctrica de PVC; Medidas: 19 mm x 18 m x 0.18 mm; Color: Negro; Con retardante a la flama - Autoextingible, MARCA 3M TEMFLEX.";34500
"NIPLE HEXAGONAL, Material: Polipropileno (resistente a la corrosión); Color: Blanco; Medidas: 1/2” (13mm); Rosca: Macho. MARCA FOSET.";34500
"CUPLA / ANILLA, Material: PVC (resistente a la corrosión); Color: Blanco; Medidas: 1/2” (13mm), MARCA TIGRE.";34500
"TAPON DE EXTREMO, CANTIDAD: 20 Piezas, DESCRIPCIÓN: Material: PVC (resistente a la corrosión); Color: Blanco; Medidas: 1/2” (13mm); Tapón tipo Hembra; Origen: Bolivia, MARCA SUGERIDA: KRONA o su equivalente.";34500
"TAPA CABLE I ,Material: PVC; Color: Blanco; Medidas: ancho 15 mm, altura 10 mm y longitud 2 metros; Con cinta adhesiva de esponja, MARCA STV.";34500
"TAPA CABLE II , Material: PVC; Color: Blanco; Medidas: ancho 20 mm, altura 10 mm y longitud 2 metros; Con cinta adhesiva de esponja, MARCA STV.";34500
"HILO DE PESCA TRANSPARENTE Nº 0.80 mm, Material: Naylon Natural Superflex; Color: Transparente; Longitud: 100 metros, MARCA ARATY SUPERFLEX.";34500
"HILO DE PESCA TRANSPARENTE Nº 0.90 mm, Naylon Natural Superflex; Color: Transparente; Longitud: 100 metros, MARCA SUPERFLEX.";34500
"SILICONA FRIA TRANSPARENTE, Composición: Química; Presentación: Tubo de 310 ml; Forma: Pasta; Color: Transparente, MARCAIDA: ABRO 1200 o su equivalente.";34500
"SIERRA BIMETÁLICA PARA SIERRA DE ARCO, Hoja Bi-Metal 18 TPI, Dimensión: 12"" pulgadas/300 mm, Marca: IRWIN.";34600
BROCA DIAMANTADA P/CONCRETO 6.0 MM, Material: Punta de Carburo de Tungsteno, Dimensión: 100 mm X 6 mm, Marca: IRWIN IW884.;34600
BROCA DIAMANTADA P/CONCRETO 7.0 MM, Material: Punta de Carburo de Tungsteno, Dimensión: 100 mm X 7 mm, Marca: IRWIN IW886.;34600
BROCA DIAMANTADA P/CONCRETO 8.0 MM, Material: Punta de Carburo de Tungsteno, Dimensión: 120 mm X 8 mm, Marca: IRWIN IW887.;34600
BROCA DIAMANTADA P/CONCRETO 10.0 MM, Material: Punta de Carburo de Tungsteno, Dimensión: 150 mm X 10 mm, Marca: IRWIN IW890.;34600
"JUEGO 19 PIEZAS DE BROCAS HSS, Material: Acero, Medidas: 1X34mm; 1,5x40mm; 2x49mm; 2,5x57mm; 3x61mm; 3.5x70mm; 4x75mm; 4,5x80mm; 5x86mm; 5,5x93mm; 6x93mm; 6,5x101mm; 7x109mm; 7,5x109mm; 8x117mm; 8,5x117mm; 9x125mm; 9,5x125mm y 10x133mm, tipo de vástago recto, con estuche de plástico organizador; Marca: IRWIN.";34600
"CLAVO PARA CONCRETO 1"", Material: Acero de 1"" pulgada, con espiral, Longitud: 25 mm, industria brasilera, Marca: Tigre.";34600
"CLAVO PARA CONCRETO 1 1/2"", Material: Acero de 1 1/2"" pulgada, con espiral, Longitud: 38 mm, industria brasilera, Marca: Tigre.";34600
"CLAVO PARA CONCRETO 2"", Material: Acero de 2"" pulgada, con espiral, Longitud: 51 mm, industria brasilera, Marca: Tigre.";34600
"JUEGO DE 6 PIEZAS DE BROCAS PALETADAS DE MADERA, Material: Acero al Carbono, Medidas: 3/8"", 1/2"", 5/8"", 3/4"", 7/8"", 1""; Longitud: 10 mm, 13mm, 16mm, 19 mm, 22mm, 25 mm; Marca: Uyustools. ";34600
CERRADURA DE SOBREPONER, Cerrojo de 2 pitones, Cilindro ajustable con doble vuelta de llave, Picaporte reversible con 3 llaves, industria chilena, Marca: Poli.;34600
CERRADURA PARA MUEBLE DE MADERA, Cerrojo de embutir, industria chilena, Marca: Papaiz.;34600
ALAMBRE DE AMARRE NEGRO RECOCIDO, Alambre N° 8, industria brasilera, Marca: Tigre;34600
"PAÑO FRANELA NARANJA, Franela de limpieza, dimensiones aproximadas: 50 x 50 cm. MARCA TODO BRILLO

";39100
SERVILLETAS DE PAPEL, Servilleta absorbente (paquete de 50 servilletas), presentación: dobladas en 4, dimensiones aproximadas: 21 x 22 cm extendidas, MARCA SCOTT.;39100
PAPEL HIGIÉNICO DE DOBLE HOJA, Doble hoja extra suave, largo aproximado: 20 metros, empaque de 2 rollos, MARCA SCOTT.;39100
DETERGENTE LÍQUIDO LAVA VAJILLAS, Contenido de 1050 ml, MARCA OLA.;39100
TRAPO DE PISO, Trapo extra suave, medidas aproximadas 48 - 50 x 60 - 62cm, MARCA MISTER TRAPO.;39100
SANITIZADOR DE MANOS (GEL ANTIBACTERIAL), Bote de 360 ml, sin fragancia o neutro,MARCA LIZ.;39100
JABÓN LIQUIDO PARA MANOS, Bote de 360 ml, Líquido Antibacterial, MARCA LIZ.;39100
"DISCO DVD-R IMPRIMIBLE, Capacidad de almacenamiento: 4.7 GB de 120 min; Velocidad: 8X; Superficie: Imprimible con inyección de tinta amplia; Presentación en porta discos de plástico de 50 unidades, MARCA VERBATIM.";39500
"PORTAMINA 0.5 MM, Material: Cuerpo Plástico, clip y puntero Metálico; Mecanismo; Automático Retráctil; Dimensión: largo de 14 cm aproximado, MARCA SABONIS.";39500
"TUBO DE MINAS 0.5 MM, Material: Mina tipo grafito; Grosor: 0.7 MM.; Color: Negro; Presentación: Tubo de 20 minas, MARCA FABER CASTELL.";39500
"CINTA DOBLE CONTACTO SIN ESPONJA, DESCRIPCIÓN: Material: Silicona Flexible con máxima adhesión; Dimensiones: Ancho de 24 mm x largo de 18 m, MARCA FIVE STICK";39500
"CINTA DOBLE CONTACTO CON ESPONJA, Material: Silicona Flexible con máxima adhesión; Dimensiones: Ancho de 18 mm x largo de 4.5 m., MARCA FIVE STICK.";39500
"PEGAMENTO SILICONA LÍQUIDA, Material: Silicona transparente Líquida; Contenido: 200 ml., MARCA UHU.";39500
"MICROPUNTA DE 0.4 mm COLOR VERDE, Colores solicitados: 20 de color verde claro y 20 de color verde oscuro.; Punta de fibra con refuerzo metálico (Preferentemente), MARCA Stabilo Point 88-44.";39500
"MICROPUNTA DE 0.4 mm COLOR AZUL, Color: azul; Punta de fibra con refuerzo metálico (Preferentemente), MARCA Stabilo Point 88-44.";39500
"MICROPUNTA DE 0.4 mm COLOR NEGRO, Color: Negro; Punta de fibra con refuerzo metálico (Preferentemente), MARCA Stabilo Point 88-44.";39500
PEGAMENTO EN BARRA, Barra de 40grs, MARCA UHU;39500
LAPIZ NEGRO, Triangular 2B, MARCA Vinifan.;39500
"NUMERADOR AUTOMÁTICO, Material: Metálico; Numerador: 7 bandas; Altura de caracteres: 4 mm. Con almohadilla de tinta, MARCA KW-TRIO 20700.";39500
BOLÍGRAFO COLOR NEGRO, Retráctil – Color Negro, MARCA: Pilot BP-145 F.;39500
BOLÍGRAFO COLOR AZUL, Retráctil – Color Azul, MARCA Pilot BP-145 F.;39500
"LUPA, Aumento: 2x/4.5x; Diámetro de Lente: 90 mm (3.5”) Aprox.; Peso(Gr): 80 g aprox.; Dimensiones: 9.7 x 1.3 x 19.6 cm aprox., MARCA Carson.";39500
"TIJERA DE OFICINA, Material: Acero Inoxidable; Dimensiones: 20cms aprox. (grande), MARCA Isofit Office.";39500
CINTA ADHESIVA MASKING, Dimensiones: Ancho 12 mm x largo 50 m., MARCA TRUPER.;39500
"TAJADOR DE ESCRITORIO, Cuerpo: Estructura Metálica y Contenedor de Plástico; Sistema automático y sujetador de mesa montable, MARCA MADISON.";39500
GRAPA 24/6, Material: Cobre, MARCA Madison.;39500
"ENGRAPADORA METALICA DE ESCRITORIO, Cubierta de plástico suave; Botón de carga posterior; Carga frontal; Guía de papel ajustable; Cuerpo interior metálico; Base de goma antideslizante; Capacidad para 200 grapas; Profundidad: Ajustable de 6 a 75 mm, MARCA ISOFIT.";39500
"CHINCHES CABEZA PLASTICA, Indicadores con cabeza de colores; Tamaño estándar: 25 mm aprox. con punta de acero, MARCA MADISON.";39500
"CARTUCHOS DE TÓNER ORIGINAL HP CE505A (05A) /NEGRO, Tipo de Impresión: LaserJet P2055dn; Rendimiento Mínimo: 2.300 paginas; Tipo de Garantía: Producto Original HP";39500
"CARTUCHO DE TÓNER ORIGINAL HP CF410A /NEGRO, Tipo de Impresión: Laser Jet Pro MFP M477fdw; Rendimiento Mínimo: 2.300 paginas; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TÓNER ORIGINAL HP CF411A/CYAN, Tipo de Impresión: Laser Jet Pro MFP M477fdw; Rendimiento Mínimo: 2.300 paginas; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TÓNER ORIGINAL HP CF413A/MAGENTA, Tipo de Impresión: Laser Jet Pro MFP M477fdw; Rendimiento Mínimo: 2.300 paginas; Tipo de Garantía: Producto Original HP.";39500
"BOTE DE TINTA ORIGINAL BROTHER BT-D60BK DE 108 ML./NEGRO, Tipo de Impresión: Brother MFC-T 4500DW; Tipo de Garantía: Producto Original Brother. ";39500
"BOTE DE TINTA ORIGINAL BROTHER BT-5001M DE 48.8 ML./MAGENTA, Tipo de Impresión: Brother MFC-T 4500DW; Tipo de Garantía: Producto Original Brother. ";39500
"BOTE DE TINTA ORIGINAL BROTHER BT-5001Y DE 48.8 ML./YELLOW, Tipo de Impresión: Brother MFC-T 4500DW; Tipo de Garantía: Producto Original Brother. ";39500
"BOTE DE TINTA ORIGINAL BROTHER BT-5001C DE 48.8 ML./CYAN, Tipo de Impresión: Brother MFC-T 4500DW; Tipo de Garantía: Producto Original Brother.";39500
"CARTUCHO DE TÓNER ORIGINAL HP CE410A (305A) /NEGRO, Tipo de Impresión: LaserJet Pro M451dw; Rendimiento Mínimo: 2.090 paginas; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TÓNER ORIGINAL HP CE411A (305A) /CYAN, Tipo de Impresión: LaserJet Pro M451dw; Rendimiento Mínimo: 2.090 paginas; Tipo de Garantía: Producto Original HP";39500
"CARTUCHO DE TÓNER ORIGINAL HP CE412A (305A) /YELLOW, Tipo de Impresión: LaserJet Pro M451dw; Rendimiento Mínimo: 2.090 paginas; Tipo de Garantía: Producto Original HP";39500
"CARTUCHO DE TÓNER ORIGINAL HP CE413A (305A) /MAGENTA, Tipo de Impresión: LaserJet Pro M451dw; Rendimiento Mínimo: 2.090 paginas; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TÓNER ORIGINAL CANON GPR - 54/NEGRO, Tipo de Impresión: Laser Imagen Runner 1435i; Rendimiento Mínimo: 17.600 paginas; Tipo de Garantía: Producto Original Canon.";39500
"CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V68A DE 300 ML./CYAN, Tipo de Impresión: Plotter HP DesignJet T1700; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V69A DE 300 ML./MAGENTA, Tipo de Impresión: Plotter HP DesignJet T1700; Tipo de Garantía: Producto Original HP.
";39500
"CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V70A DE 300 ML./YELLOW, Tipo de Impresión: Plotter HP DesignJet T1700; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V71A DE 300 ML./NEGRO MATE, Tipo de Impresión: Plotter HP DesignJet T1700; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP P2V67A DE 300 ML./GRIS, Tipo de Impresión: Plotter HP DesignJet T1700; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TINTA ORIGINAL PARA PLOTTER HP BK P2V73A DE 300 ML./NEGRO FOTOGRÁFICO, Tipo de Impresión: Plotter HP DesignJet T1700; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TÓNER ORIGINAL HP Q5949A (49A) /NEGRO, Tipo de Impresión: Hp LaserJet 1320nw; Rendimiento Mínimo: 2.500 paginas; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TÓNER ORIGINAL HP CB435A/NEGRO, Tipo de Impresión: LaserJet P1006; Rendimiento Mínimo: 1.500 paginas; Tipo de Garantía: Producto Original HP.";39500
"CARTUCHO DE TÓNER ORIGINAL CANON GPR - 35/NEGRO, Tipo de Impresión: Laser Imagen Runner 2525; Rendimiento Mínimo: 14.600 paginas; Tipo de Garantía: Producto Original Canon.";39500
"CARTUCHO DE TÓNER ORIGINAL HP CC364A (64A) /NEGRO, Tipo de Impresión: Hp LaserJet P4015n; Rendimiento Mínimo: 10.000 paginas; Tipo de Garantía: Producto Original HP. ";39500
"BOTE DE TINTA ORIGINAL EPSON ECO TANK L6171 (T-504) DE 127 ML./NEGRO, Tipo de Impresión: Epson T504 BK T504120-AL; Tipo de Garantía: Producto Original Epson. ";39500
"BOTE DE TINTA ORIGINAL EPSON ECO TANK L6171 (T-504) DE 70 ML./MAGENTA, Tipo de Impresión: Epson T504 T504320-AL; Tipo de Garantía: Producto Original Epson. ";39500
"BOTE DE TINTA ORIGINAL EPSON ECO TANK L6171 (T-504) DE 70 ML./AMARILLO, Tipo de Impresión: Epson T504 T504420-AL; Tipo de Garantía: Producto Original Epson. ";39500
"BOTE DE TINTA ORIGINAL EPSON ECO TANK L6171 (T-504) DE 70 ML./CYAN, Tipo de Impresión: Epson T504 T504220-AL; Tipo de Garantía: Producto Original Epson. ";39500
TACHOS LED;39700
FOCO LED CÁLIDO E14 DE 5 WATTS, Foco tipo vela, con rosca migñón, Marca: Candle Bulb. ;39700
SPOT LED PARA RIEL DE 30 WATTS, CANTIDAD: 70 piezas, DESCRIPCIÓN: Spot con 2 vías, ángulo de visión ajustable a 90°, Voltaje: AC100-240V, Material: Cuerpo de Aluminio de color blanco, Marca: Wanders.  ;39700
PILA DE LITIO TIPO BOTON CR2032, Voltaje de 3V DC, Marca: Panasonic.;39700
BOMBILLA LED TRANSPARENTE DE 8.5 WATTS, Rosca normal, Filamento E27, Marca: FSL.  ;39700
BOMBILLA TIPO VELA TRANSPARENTE DE 5 WATTS, Rosca normal, Filamento E27, Marca: FSL. ;39700
TOMA CORRIENTE SIMPLE DE PISO, Tipo de entrada: Nema, Material: metálico, Color dorado, Marca: Tramontina. ;39700
SPOT CON BRAZO LUZ CALIDA DE 5 WATTS., Spot con brazo ajustable a 180°, Voltaje: 265V, Material: Cuerpo de Aluminio, Color blanco, Marca: Alatino Light.;39700
CABLE BIPOLAR BLANCO N° 12, Longitud de rollo: 100 metros, Grosor del filamento: 2.5 mm, Color: blanco, Marca: Sumalux.;39700
ADQUISICION DE MATERIAL ELECTRICO PARA ALUMBRADO PATIO PATRIMONIAL;39700
PEDESTAL PARA MONITORES DE PISO;39800
CABLE DE MICRÓFONO XLR 20 METROS;39800
CABLE DE MICRÓFONO XLR 15 METROS;39800
DISCOS DUROS DE VIDEOVIGILANCIA, CAPACIDAD: 6TB, FORMATO: 3.5 PULGADAS.;39800
DISCO DURO PARA SERVIDOR, CAPACIDAD: 1TB, FORMATO: 3.5 PULGADAS, DISCO CON INTERFAZ SAS.;39800
 PLANTA ORNAMENTAL - CLATEA RAYA DE LAPIZ;39990
 PLANTA ORNAMENTAL - CORONA DE CRISTO;39990
ADQUISICION DE EQUIPO DE COMPUTACIÓN DE ESCRITORIO;43120
EQUIPO DE COMPUTACION DE ESCRITORIO;43120
IMPRESORA A COLOR PORTATIL;43120
RED DE DATOS;43500
"EAW RS121 CAJA ACTIVA 12"". SPL: 135 POTENCIA: 1500W";43500
"EAW RS118 SUBWOOFER 1 X 18"". SPL: 133 POTENCIA: 1500W";43500
DPA MICRÓFONO DE DIADEMA OMNIDIRECCIONAL 4466 CORE;43500
DPA ADAPTADOR PARA MICRODOT A XLR CON CLIP PARA CINTURÓN Y CONECTOR DE CORTE BAJO (DAD4099-BC);43500
TALADOR BOSCH 750;43700
NIVEL LASER LINEA VERDE MARCA FICTUS;43700
TALADRO DEL WALT A BATERIA DE 20 V;43700
ESTUFA TIPO HONGO ACERO INOXIDABLE;43700
TASAS (ASEO URBANO Y ALUMBRADO PUBLICO);85100
ENVIO DE PLANILLAS AL MINISTERIO DE TRABAJO;85900
PAGO DE SUELDOS DEL PERSONAL DE PLANTA DE CDL;66100
PAGO DE SERVICIO DE SEGURIDAD FÍSICA ESTATAL;66210
PAGO POR EL MES DE DICIEMBRE DEL CONSULTOR INDIVIDUAL DE LINEA DE LA UNIDAD DE MUSEO;66210
PAGO DE SERVICIO DE LIMPIEZA INTEGRAL;66210
PAGO DE RETENCIONES POR SERVICIO DE SEGURIDAD FÍSICA ESTATAL;66400
PAGO DE RETENCIONES POR SUELDOS DEL PERSONAL DE PLANTA DE CASA DE LA LIBERTAD;66400
BONO DE ANTIGUEDAD;11220
AGUINALDOS;11400
SUELDOS ;11700
REGIMEN A CORTO PLAZO (SALUD) 10%;13110
REGIMEN DE LARGO PLAZO (PENSIONES) 1,71%;13120
APORTE PATRONAL SOLIDARIO 3%;13131
APORTE PATRONAL PARA VIVIENDA 2%;13200
CONTRATACIÓN DE PASANTIAS PARA AREA DE BIBLIOTECA;26930
CONTRATACIÓN DE PASANTIAS PARA AREA DE ARCHIVO;26930
